ISIN	NOM	SICOVAM	TICKER	GROUP				
FR0000131906	RENAULT	13190	RNO	CAC40			FR0000131906	1.00
FR0000133308	FRANCE TELECOM	13330	FTE	CAC40			FR0000133308	1.00
FR0000184798	ORPEA	18479	ORP	SBF120			FR0000133308	0.00
FR0004025062	SOITEC SILICON	7206	SOI	SBF120			FR0000133308	0.00
FR0004035913	ILIAD		ILD	SBF120			FR0000133308	0.00
FR0004254035	EULER HERMES	12130	ELE	SBF120			FR0000133308	0.00
FR0004548873	BOURBON	6590	GBB	SBF120			FR0000133308	0.00
FR0006174348	BUREAU VERITAS		BVI	SBF120			FR0000133308	0.00
FR0010040865	GECINA NOM.		GFC	SBF120			FR0000133308	0.00
FR0010096354	PAGESJAUNES		PAJ	SBF120			FR0000133308	0.00
FR0010096479	BIOMERIEUX		BIM	SBF120			FR0000133308	0.00
FR0010112524	NEXITY		NXI	SBF120			FR0000133308	0.00
FR0010208165	SAFT		SAFT	SBF120			FR0000133308	0.00
FR0010208488	GDF SUEZ		GSZ	CAC40			FR0010208488	1.00
FR0010220475	ALSTOM		ALO	CAC40			FR0010220475	1.00
FR0010221234	EUTELSAT COM.		ETL	SBF120			FR0010220475	0.00
FR0010241638	MERCIALYS		MERY	SBF120			FR0010220475	0.00
FR0010242511	EDF		EDF	CAC40			FR0010242511	1.00
FR0010259150	IPSEN		IPN	SBF120			FR0010242511	0.00
FR0010266601	BULL		BULL	SBF120			FR0010242511	0.00
FR0010307819	LEGRAND SA		LR	CAC40			FR0010307819	1.00
FR0010313833	ARKEMA		AKE	SBF120			FR0010307819	0.00
FR0010340141	ADP		ADP	SBF120			FR0010307819	0.00
FR0010411983	SCOR		SCR	SBF120			FR0010307819	0.00
FR0010451203	REXEL		RXL	SBF120			FR0010307819	0.00
FR0010533075	GROUPE EUROTUNNEL		GET	SBF120			FR0010307819	0.00
FR0010613471	SUEZ ENVIRONNEMENT		SEV	SBF120			FR0010307819	0.00
FR0010908533	EDENRED		EDEN	SBF120			FR0010307819	0.00
FR0010918292	TECHNICOLOR		TCH	SBF120			FR0010307819	0.00
FR0011027143	AREVA		AREVA	SBF120			FR0010307819	0.00
LU0088087324	SES SA		SESG	SBF120			FR0010307819	0.00
LU0323134006	ARCELOR MITTAL		MT	CAC40			LU0323134006	1.00
LU0569974404	APERAM		APAM	SBF120			LU0323134006	0.00
NL0000226223	STMICROELECTRONICS	12970	STM	CAC40			NL0000226223	1.00
NL0000235190	EADS	5730	EAD	CAC40			NL0000235190	1.00
NL0000400653	GEMALTO		GTO	CAC40			NL0000235190	0.00
