Name,Index,Close,Var,indic1,indic2,indic3,indic4,indic5,indic6
FUT_BITCOIN,3657,5605,0,0.7864063,0.8648761,0.9190301,0.1769198,0.1198328,0.068602
FUT_BITCOIN,3658,5605,0,0.7536682,0.8442028,0.9064177,0.1598162,0.1157662,0.06742311
FUT_BITCOIN,3659,5600,-0.0008920606,0.7140434,0.8191602,0.8912619,0.1357887,0.1088278,0.06473536
FUT_BITCOIN,3660,5630,0.005357143,0.8337659,0.8948743,0.9367813,0.1742296,0.1232365,0.07281384
FUT_BITCOIN,3661,5745,0.02042629,0.9168829,0.9474371,0.9683906,0.3541304,0.1882432,0.1067134
FUT_BITCOIN,3662,5825,0.01392515,0.9584415,0.9737186,0.9841952,0.4554045,0.2297354,0.1292609
FUT_BITCOIN,3663,5780,-0.007725322,0.8623376,0.9019538,0.9324949,0.3341519,0.1947791,0.1132446
FUT_BITCOIN,3664,5835,0.00951557,0.9311688,0.9509768,0.9662476,0.3942739,0.2208931,0.1280037
FUT_BITCOIN,3665,5925,0.01542416,0.9655844,0.9754884,0.9831238,0.5065436,0.2668056,0.1530833
FUT_BITCOIN,3666,5845,-0.01350211,0.775,0.8607602,0.8979947,0.3224781,0.2098615,0.1260481
FUT_BITCOIN,3667,5800,-0.007698888,0.5028845,0.7319674,0.8027984,0.2157244,0.1758684,0.1101571
FUT_BITCOIN,3668,5875,0.01293103,0.5975961,0.7853386,0.8429196,0.319837,0.2142394,0.1309405
FUT_BITCOIN,3669,5892.5,0.002978723,0.6987981,0.84025,0.8834482,0.3175919,0.2171248,0.1339054
FUT_BITCOIN,3670,5890,-0.0004242681,0.7417067,0.8636734,0.9007884,0.2823817,0.2080941,0.1307639
FUT_BITCOIN,3671,5815,-0.01273345,0.5323918,0.7544174,0.8217392,0.1307919,0.1567089,0.1058035
FUT_BITCOIN,3672,5870,0.009458298,0.596965,0.7884991,0.8465421,0.2091009,0.1836838,0.1205281
FUT_BITCOIN,3673,5887.5,0.002981261,0.6830978,0.8337657,0.8794113,0.2176611,0.1876104,0.1236645
FUT_BITCOIN,3674,5935,0.00806794,0.8415489,0.9168829,0.9397057,0.2746025,0.2089405,0.1357583
FUT_BITCOIN,3675,5945,0.00168492,0.9207745,0.9584415,0.9698529,0.2642198,0.2075219,0.1363368
FUT_BITCOIN,3676,5955,0.001682086,0.9603873,0.9792207,0.9849265,0.2548293,0.2061461,0.1368951
FUT_BITCOIN,3677,5985,0.005037783,0.9801936,0.9896103,0.9924632,0.2789157,0.2164362,0.1434371
FUT_BITCOIN,3678,6160,0.02923977,0.9900967,0.9948052,0.9962317,0.5353203,0.310361,0.1931455
FUT_BITCOIN,3679,6220,0.009740259,0.9950483,0.9974027,0.9981158,0.5784598,0.3339274,0.2074729
FUT_BITCOIN,3680,6185,-0.00562701,0.9141908,0.9560184,0.968623,0.4646632,0.3017968,0.1932174
FUT_BITCOIN,3681,6190,0.0008084074,0.8856668,0.9414238,0.9582245,0.4266153,0.2939234,0.1911524
FUT_BITCOIN,3682,6245,0.008885299,0.9428334,0.9707119,0.9791123,0.4718041,0.3149503,0.2039314
FUT_BITCOIN,3683,6275,0.004803843,0.9714167,0.985356,0.9895561,0.472429,0.3208053,0.2090258
FUT_BITCOIN,3684,6350,0.01195219,0.9857083,0.9926779,0.9947782,0.5434079,0.3519384,0.2272663
FUT_BITCOIN,3685,6230,-0.01889764,0.768555,0.8673066,0.9036391,0.3014722,0.2712708,0.1876928
