Name,Index,Close,Var,indic1,indic2,indic3,indic4,indic5,indic6
ACCOR HOTELS,1143,23.07,-0.009446166,0.7195172,0.4306259,-0.02450424,0.1824677,0.05018938,0.01221684
ACCOR HOTELS,1144,22.91,-0.006935407,0.5797588,0.3680461,-0.06972343,0.09779959,0.02545737,0.0004746807
ACCOR HOTELS,1145,22.79,-0.005237841,0.4413086,0.4419602,-0.1153214,0.03812554,0.007322128,-0.008194488
ACCOR HOTELS,1146,22.62,-0.007459415,0.2749407,0.4114569,-0.1706874,-0.03680681,-0.01742885,-0.02032966
ACCOR HOTELS,1147,22.75,0.005747089,0.08191513,0.4477922,-0.1734663,0.02122056,0.00188744,-0.01061256
ACCOR HOTELS,1148,22.89,0.006153819,0.10506,0.5215152,-0.148036,0.07786566,0.0220069,-0.0003332396
ACCOR HOTELS,1149,22.83,-0.002621209,0.0653508,0.5345672,-0.146815,0.0452836,0.01263727,-0.00465704
ACCOR HOTELS,1150,22.78,-0.002190067,-0.001806488,0.5212525,-0.1557828,0.02001576,0.005014406,-0.008189773
ACCOR HOTELS,1151,22.66,-0.005267816,-0.2966017,0.4669756,-0.1832555,-0.0321544,-0.01244378,-0.0167225
ACCOR HOTELS,1152,23.26,0.02647839,0.1850333,0.6779324,-0.0820491,0.2218153,0.07439851,0.02687659
ACCOR HOTELS,1153,23.35,0.00386931,0.5329938,0.8183054,-0.01420456,0.2377518,0.08485185,0.03291424
ACCOR HOTELS,1154,23.09,-0.01113491,0.369061,0.7509897,-0.03009079,0.106546,0.04463321,0.01360692
ACCOR HOTELS,1155,23.12,0.001299293,0.3255571,0.7326382,-0.01800385,0.1087805,0.04745623,0.01554478
ACCOR HOTELS,1156,23.56,0.01903108,0.6627786,0.8663191,0.0829979,0.2807504,0.1090562,0.04701188
ACCOR HOTELS,1157,24.4,0.03565366,0.8313893,0.9331595,0.3014987,0.5990251,0.2256241,0.1067009
ACCOR HOTELS,1158,24.15,-0.0102459,0.7752451,0.8779272,0.4141901,0.4369188,0.1820714,0.08684815
ACCOR HOTELS,1159,24.09,-0.00248445,0.7134655,0.8262365,0.4576328,0.3692998,0.1672359,0.08103465
ACCOR HOTELS,1160,23.94,-0.006226634,0.5983059,0.745846,0.447096,0.272,0.1401372,0.06885359
ACCOR HOTELS,1161,24.09,0.006265648,0.6209924,0.7601959,0.4740857,0.3063744,0.1566836,0.07843749
ACCOR HOTELS,1162,24.19,0.004151116,0.6898071,0.8037347,0.509086,0.3168721,0.1655128,0.0842503
ACCOR HOTELS,1163,23.97,-0.009094718,0.5977768,0.7455035,0.479274,0.1970782,0.1286455,0.06702408
ACCOR HOTELS,1164,23.88,-0.0037547,0.5000376,0.6836606,0.4450131,0.141682,0.1115235,0.05943405
ACCOR HOTELS,1165,23.65,-0.009631472,0.3189842,0.5691031,0.3784204,0.03520776,0.0751917,0.04195092
ACCOR HOTELS,1166,23.83,0.007611006,0.2243777,0.5772789,0.3838338,0.1044782,0.09814494,0.05412251
ACCOR HOTELS,1167,23.37,-0.01930336,-0.1740701,0.4140944,0.287616,-0.0911406,0.02979615,0.02028666
ACCOR HOTELS,1168,23.41,0.001711554,-0.3427604,0.3470473,0.248109,-0.06637689,0.03446076,0.02280903
ACCOR HOTELS,1169,22.61,-0.0341734,-0.6713802,0.0226149,0.05631264,-0.3834994,-0.07985151,-0.03481639
ACCOR HOTELS,1170,22.52,-0.003980546,-0.8356901,-0.1723287,-0.05894043,-0.3848377,-0.09003859,-0.04070211
ACCOR HOTELS,1171,22.93,0.01820603,-0.69976,-0.1207095,-0.02839493,-0.1825028,-0.02905333,-0.0106776
ACCOR HOTELS,1172,22.58,-0.01526386,-0.8139522,-0.2221729,-0.08839111,-0.3082694,-0.07772622,-0.03557376
ACCOR HOTELS,1173,22.29,-0.01284318,-0.9069761,-0.3783587,-0.1807545,-0.3984925,-0.1163788,-0.05577742
ACCOR HOTELS,1174,22.59,0.01345892,-0.7955937,-0.347361,-0.1624203,-0.2386791,-0.07008545,-0.03338089
ACCOR HOTELS,1175,22.9,0.01372286,-0.5767449,-0.3649247,-0.08658661,-0.08873584,-0.02377234,-0.01060104
ACCOR HOTELS,1176,23.07,0.007423584,-0.3778467,-0.2953655,-0.0121106,-0.01025737,0.001166142,0.001762858
ACCOR HOTELS,1177,23.2,0.00563507,-0.1472562,-0.2006776,0.07953034,0.04431789,0.01960553,0.01105595
ACCOR HOTELS,1178,23.51,0.01336205,0.1936679,-0.01237564,0.1951705,0.1676032,0.06299403,0.0330907
ACCOR HOTELS,1179,23.35,-0.006805608,0.2851457,-0.003818054,0.2602359,0.08572675,0.03818014,0.02107433
ACCOR HOTELS,1180,23.8,0.0192719,0.6230919,0.2137304,0.4012021,0.2619112,0.1007264,0.05294727
ACCOR HOTELS,1181,23.95,0.006302585,0.811546,0.3935954,0.5078302,0.2975974,0.118559,0.0627781
ACCOR HOTELS,1182,23.68,-0.01127351,0.7431221,0.3555655,0.4960838,0.1585988,0.07636536,0.04239586
ACCOR HOTELS,1183,23.63,-0.002111535,0.6787889,0.3128534,0.4781622,0.1229308,0.06673394,0.03810376
ACCOR HOTELS,1184,23.82,0.008040649,0.7610806,0.3815451,0.5149847,0.1883361,0.09134232,0.0510376
ACCOR HOTELS,1185,23.81,-0.0004198249,0.7962021,0.4111514,0.5309862,0.1660533,0.08685923,0.04945379
ACCOR HOTELS,1186,23.3,-0.02141958,0.5065338,0.1842482,0.4160953,-0.05697579,0.01198566,0.01218672
ACCOR HOTELS,1187,23.25,-0.00214589,0.3315796,0.04710022,0.3466019,-0.07190762,0.004526251,0.008417861
ACCOR HOTELS,1188,23.62,0.01591402,0.423143,0.1538823,0.401012,0.08535437,0.05659948,0.03469824
ACCOR HOTELS,1189,23.53,-0.003810337,0.311572,0.1646191,0.4065301,0.04062146,0.04201735,0.02769322
ACCOR HOTELS,1190,23.33,-0.00849982,-0.04875961,0.07520035,0.4014746,-0.04451109,0.01243132,0.01295094
ACCOR HOTELS,1191,23.61,0.01200174,0.02228668,0.1631928,0.4928427,0.0734749,0.05148757,0.03271266
ACCOR HOTELS,1192,21.37,-0.09487504,-0.4888567,-0.4184036,-0.05094688,-0.8433994,-0.2659917,-0.1276963
ACCOR HOTELS,1193,21.22,-0.007019257,-0.7444283,-0.7092018,-0.3623158,-0.8310145,-0.2791592,-0.1364688
ACCOR HOTELS,1194,21.09,-0.006126257,-0.8722142,-0.8546009,-0.5522106,-0.8118689,-0.2891929,-0.143699
ACCOR HOTELS,1195,21.6,0.02418209,-0.7577853,-0.7732218,-0.5129473,-0.5281692,-0.2080173,-0.104973
ACCOR HOTELS,1196,21.27,-0.01527777,-0.8129585,-0.8322302,-0.5801578,-0.6185622,-0.2486278,-0.1270205
ACCOR HOTELS,1197,21.16,-0.005171632,-0.8808383,-0.8949671,-0.6427106,-0.6094782,-0.2567828,-0.1329842
ACCOR HOTELS,1198,20.94,-0.01039694,-0.9404191,-0.9474836,-0.7318816,-0.6480622,-0.2804995,-0.1467812
ACCOR HOTELS,1199,21.1,0.007640871,-0.9144604,-0.927499,-0.7389567,-0.5219051,-0.2490969,-0.1330412
ACCOR HOTELS,1200,20.87,-0.01090045,-0.9572302,-0.9637495,-0.8033407,-0.5733172,-0.274639,-0.1476089
ACCOR HOTELS,1201,20.53,-0.01629133,-0.9786151,-0.9818748,-0.9016704,-0.6683645,-0.3154392,-0.1699407
ACCOR HOTELS,1202,19.66,-0.04237705,-0.9893076,-0.9909374,-0.9508352,-0.9865766,-0.43203,-0.2303716
